question_id,setting,question,prompt
HQ0004,basic_rag,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"Answer the question using the provided source context.

Source context:
[S000141] (HQ0004; Esma Sultan Mansion) The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped. [S000140] (HQ0004; Laleli Mosque) The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey. [S000134] (HQ0004; Sultan Ahmed Mosque) The Sultan Ahmed Mosque or Sultan Ahmet Mosque (Turkish: ""Sultan Ahmet Camii"" ) is a historic mosque located in Istanbul, Turkey. [S000139] (HQ0004; Sultan Ahmed Mosque)  It sits next to the Hagia Sophia, another popular tourist site. [S000142] (HQ0004; Esma Sultan) Esma Sultan is the name of three daughters of three Ottoman Sultans: [S000137] (HQ0004; Sultan Ahmed Mosque)  Its Külliye contains Ahmed's tomb, a madrasah and a hospice. [S000145] (HQ0004; Esma Sultan (daughter of Ahmed III)) Esma Sultan (14 March 1726 – 13 August 1788) was an Ottoman princess, daughter of Sultan Ahmed III and his consort Zeynep Kadın. [S000132] (HQ0004; Esma Sultan (daughter of Abdul Hamid I)) Esma Sultan (17 July 1778 – 4 June 1848) was an Ottoman princess, daughter of Sultan Abdul Hamid I, sister of Sultan Mustafa IV and Sultan Mahmud II.

Question:
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?

Answer:"
HQ0004,strict_citation_rag,Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?,"You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000141] (HQ0004; Esma Sultan Mansion) The Esma Sultan Mansion (Turkish: ""Esma Sultan Yalısı"" ), a historical yalı (English: waterside mansion ) located at Bosphorus in Ortaköy neighborhood of Istanbul, Turkey and named after its original owner Esma Sultan, is used today as a cultural center after being redeveloped. [S000140] (HQ0004; Laleli Mosque) The Laleli Mosque (Turkish: ""Laleli Camii, or Tulip Mosque"" ) is an 18th-century Ottoman imperial mosque located in Laleli, Fatih, Istanbul, Turkey. [S000134] (HQ0004; Sultan Ahmed Mosque) The Sultan Ahmed Mosque or Sultan Ahmet Mosque (Turkish: ""Sultan Ahmet Camii"" ) is a historic mosque located in Istanbul, Turkey. [S000139] (HQ0004; Sultan Ahmed Mosque)  It sits next to the Hagia Sophia, another popular tourist site. [S000142] (HQ0004; Esma Sultan) Esma Sultan is the name of three daughters of three Ottoman Sultans: [S000137] (HQ0004; Sultan Ahmed Mosque)  Its Külliye contains Ahmed's tomb, a madrasah and a hospice. [S000145] (HQ0004; Esma Sultan (daughter of Ahmed III)) Esma Sultan (14 March 1726 – 13 August 1788) was an Ottoman princess, daughter of Sultan Ahmed III and his consort Zeynep Kadın. [S000132] (HQ0004; Esma Sultan (daughter of Abdul Hamid I)) Esma Sultan (17 July 1778 – 4 June 1848) was an Ottoman princess, daughter of Sultan Abdul Hamid I, sister of Sultan Mustafa IV and Sultan Mahmud II.

Question:
Are the Laleli Mosque and Esma Sultan Mansion located in the same neighborhood?

Answer:"
HQ0005,no_rag,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Answer the question using your general knowledge.

Question:
The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?

Answer:"
HQ0005,basic_rag,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Answer the question using the provided source context.

Source context:
[S000196] (HQ0005; Big Stone Gap (film)) Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society. [S000197] (HQ0005; Big Stone Gap (film))  Based on Trigiani's 2000 best-selling novel of the same name, the story is set in the actual Virginia town of Big Stone Gap circa 1970s. [S000198] (HQ0005; Big Stone Gap (film))  The film had its world premiere at the Virginia Film Festival on November 6, 2014. [S000193] (HQ0005; I Love NY (2015 film))  The film was extensively shot in Mumbai, New York City and Bangkok. [S000194] (HQ0005; I Love NY (2015 film))  The main plot was taken from the Russian romantic comedy ""The Irony of Fate"" (1976). [S000148] (HQ0005; Just Another Romantic Wrestling Comedy)  This Romantic comedy film was premiered at New Jersey and New York City on December 1, 2006 and was released on DVD in the United States and the United Kingdom on April 17, 2007. [S000195] (HQ0005; I Love NY (2015 film))  After numerous delays, the film released on 10 July 2015. [S000192] (HQ0005; I Love NY (2015 film))  The film is produced by Bhushan Kumar and Krishan Kumar under the banner of Super Cassettes Industries Ltd.

Question:
The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?

Answer:"
HQ0005,strict_citation_rag,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000196] (HQ0005; Big Stone Gap (film)) Big Stone Gap is a 2014 American drama romantic comedy film written and directed by Adriana Trigiani and produced by Donna Gigliotti for Altar Identity Studios, a subsidiary of Media Society. [S000197] (HQ0005; Big Stone Gap (film))  Based on Trigiani's 2000 best-selling novel of the same name, the story is set in the actual Virginia town of Big Stone Gap circa 1970s. [S000198] (HQ0005; Big Stone Gap (film))  The film had its world premiere at the Virginia Film Festival on November 6, 2014. [S000193] (HQ0005; I Love NY (2015 film))  The film was extensively shot in Mumbai, New York City and Bangkok. [S000194] (HQ0005; I Love NY (2015 film))  The main plot was taken from the Russian romantic comedy ""The Irony of Fate"" (1976). [S000148] (HQ0005; Just Another Romantic Wrestling Comedy)  This Romantic comedy film was premiered at New Jersey and New York City on December 1, 2006 and was released on DVD in the United States and the United Kingdom on April 17, 2007. [S000195] (HQ0005; I Love NY (2015 film))  After numerous delays, the film released on 10 July 2015. [S000192] (HQ0005; I Love NY (2015 film))  The film is produced by Bhushan Kumar and Krishan Kumar under the banner of Super Cassettes Industries Ltd.

Question:
The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?

Answer:"
HQ0006,no_rag,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"Answer the question using your general knowledge.

Question:
2014 S/S is the debut album of a South Korean boy group that was formed by who?

Answer:"
HQ0006,basic_rag,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"Answer the question using the provided source context.

Source context:
[S000210] (HQ0006; 2014 S/S) 2014 S/S is the debut album of South Korean group WINNER. [S000211] (HQ0006; 2014 S/S)  It was released on August 12, 2014 by the group's record label, YG Entertainment. [S000238] (HQ0006; BTS discography)  The group debuted in South Korea on June 2013 with single album, ""2 Cool 4 Skool"", at number 5 on South Korean Week 31 Gaon Weekly Chart. [S000212] (HQ0006; 2014 S/S)  The members were credited for writing the lyrics and composing the majority of the album's songs. [S000213] (HQ0006; History (band)) History (Korean: 히스토리 ) was a South Korean boy group formed by LOEN Entertainment in 2013. [S000217] (HQ0006; Winner (band)) Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014. [S000235] (HQ0006; Seventeen discography)  Seventeen (Hangul: 세븐틴), also stylized as SEVENTEEN or SVT, is a South Korean boy group formed by Pledis Entertainment in 2015. [S000232] (HQ0006; SF9 (band))  SF9 is the company's first dance boy group to ever debut.

Question:
2014 S/S is the debut album of a South Korean boy group that was formed by who?

Answer:"
HQ0006,strict_citation_rag,2014 S/S is the debut album of a South Korean boy group that was formed by who?,"You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000210] (HQ0006; 2014 S/S) 2014 S/S is the debut album of South Korean group WINNER. [S000211] (HQ0006; 2014 S/S)  It was released on August 12, 2014 by the group's record label, YG Entertainment. [S000238] (HQ0006; BTS discography)  The group debuted in South Korea on June 2013 with single album, ""2 Cool 4 Skool"", at number 5 on South Korean Week 31 Gaon Weekly Chart. [S000212] (HQ0006; 2014 S/S)  The members were credited for writing the lyrics and composing the majority of the album's songs. [S000213] (HQ0006; History (band)) History (Korean: 히스토리 ) was a South Korean boy group formed by LOEN Entertainment in 2013. [S000217] (HQ0006; Winner (band)) Winner (Hangul: 위너), often stylized as WINNER, is a South Korean boy group formed in 2013 by YG Entertainment and debuted in 2014. [S000235] (HQ0006; Seventeen discography)  Seventeen (Hangul: 세븐틴), also stylized as SEVENTEEN or SVT, is a South Korean boy group formed by Pledis Entertainment in 2015. [S000232] (HQ0006; SF9 (band))  SF9 is the company's first dance boy group to ever debut.

Question:
2014 S/S is the debut album of a South Korean boy group that was formed by who?

Answer:"
HQ0007,no_rag,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"Answer the question using your general knowledge.

Question:
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?

Answer:"
HQ0007,basic_rag,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"Answer the question using the provided source context.

Source context:
[S000264] (HQ0007; Eenasul Fateh) Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant. [S000561] (HQ0013; Steven Adler)  During the 2000s, Adler was the drummer of the band Adler's Appetite, and from 2012, he had held the same position in the band Adler. [S000558] (HQ0013; Steven Adler) Steven Adler (born Michael Coletti; January 22, 1965) is an American musician. [S000559] (HQ0013; Steven Adler)  He is best known as the former drummer and co-songwriter of the hard rock band Guns N' Roses, with whom he achieved worldwide success in the late 1980s. [S000560] (HQ0013; Steven Adler)  Adler was fired from Guns N' Roses over his heroin addiction in 1990, following which he reformed his old band Road Crew and briefly joined BulletBoys, which both proved unsuccessful. [S000263] (HQ0007; Indriati Iskak)  For twenty-six years she worked with Unilever, and since 1994 she has been a marketing consultant with Makki Makki. [S000268] (HQ0007; Mick (DJ))  As an entrepreneur, he has invested in various start-up companies including Localeur, in which he is also an advisor and consultant. [S000279] (HQ0007; Management consulting)  Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise.

Question:
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?

Answer:"
HQ0007,strict_citation_rag,Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?,"You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000264] (HQ0007; Eenasul Fateh) Eenasul Fateh (Bengali: ঈনাসুল ফাতেহ ; born 3 April 1959), also known by his stage name Aladin, is a Bangladeshi-British cultural practitioner, magician, live artist and former international management consultant. [S000561] (HQ0013; Steven Adler)  During the 2000s, Adler was the drummer of the band Adler's Appetite, and from 2012, he had held the same position in the band Adler. [S000558] (HQ0013; Steven Adler) Steven Adler (born Michael Coletti; January 22, 1965) is an American musician. [S000559] (HQ0013; Steven Adler)  He is best known as the former drummer and co-songwriter of the hard rock band Guns N' Roses, with whom he achieved worldwide success in the late 1980s. [S000560] (HQ0013; Steven Adler)  Adler was fired from Guns N' Roses over his heroin addiction in 1990, following which he reformed his old band Road Crew and briefly joined BulletBoys, which both proved unsuccessful. [S000263] (HQ0007; Indriati Iskak)  For twenty-six years she worked with Unilever, and since 1994 she has been a marketing consultant with Makki Makki. [S000268] (HQ0007; Mick (DJ))  As an entrepreneur, he has invested in various start-up companies including Localeur, in which he is also an advisor and consultant. [S000279] (HQ0007; Management consulting)  Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise.

Question:
Who was known by his stage name Aladin and helped organizations improve their performance as a consultant?

Answer:"
HQ0008,no_rag,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"Answer the question using your general knowledge.

Question:
The arena where the Lewiston Maineiacs played their home games can seat how many people?

Answer:"
HQ0008,basic_rag,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"Answer the question using the provided source context.

Source context:
[S000360] (HQ0008; Lewiston Maineiacs)  The team played its home games at the Androscoggin Bank Colisée. [S000350] (HQ0008; Androscoggin Bank Colisée) The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958. [S000359] (HQ0008; Lewiston Maineiacs) The Lewiston Maineiacs were a junior ice hockey team of the Quebec Major Junior Hockey League based in Lewiston, Maine. [S000364] (HQ0008; Dwyer Arena)  The main rink can seat up to 1,400 people and is the home to the Niagara Purple Eagles men's ice hockey team, which plays in Atlantic Hockey. [S000362] (HQ0008; Lewiston Maineiacs)  They won the President's Cup in 2007. [S000298] (HQ0008; Billings Bulls)  They previously played their home games in the Metrapark which had a max capacity of 9,000 for hockey games. [S000369] (HQ0008; 2006–07 QMJHL season)  The Lewiston Maineiacs finished first overall in the regular season winning their first Jean Rougeau Trophy. [S000358] (HQ0008; 2007 Memorial Cup)  The previous record of 84,686 was set at the 2003 tournament in Quebec City.

Question:
The arena where the Lewiston Maineiacs played their home games can seat how many people?

Answer:"
HQ0008,strict_citation_rag,The arena where the Lewiston Maineiacs played their home games can seat how many people?,"You are answering questions using only the provided source context.

Rules:
1. Use only information from the source context.
2. Cite the sentence ID that supports your answer, such as [S000001].
3. If the source does not contain the answer, say: ""The document does not provide enough information.""
4. Do not guess.
5. Do not use outside knowledge.

Source context:
[S000360] (HQ0008; Lewiston Maineiacs)  The team played its home games at the Androscoggin Bank Colisée. [S000350] (HQ0008; Androscoggin Bank Colisée) The Androscoggin Bank Colisée (formerly Central Maine Civic Center and Lewiston Colisee) is a 4,000 capacity (3,677 seated) multi-purpose arena, in Lewiston, Maine, that opened in 1958. [S000359] (HQ0008; Lewiston Maineiacs) The Lewiston Maineiacs were a junior ice hockey team of the Quebec Major Junior Hockey League based in Lewiston, Maine. [S000364] (HQ0008; Dwyer Arena)  The main rink can seat up to 1,400 people and is the home to the Niagara Purple Eagles men's ice hockey team, which plays in Atlantic Hockey. [S000362] (HQ0008; Lewiston Maineiacs)  They won the President's Cup in 2007. [S000298] (HQ0008; Billings Bulls)  They previously played their home games in the Metrapark which had a max capacity of 9,000 for hockey games. [S000369] (HQ0008; 2006–07 QMJHL season)  The Lewiston Maineiacs finished first overall in the regular season winning their first Jean Rougeau Trophy. [S000358] (HQ0008; 2007 Memorial Cup)  The previous record of 84,686 was set at the 2003 tournament in Quebec City.

Question:
The arena where the Lewiston Maineiacs played their home games can seat how many people?

Answer:"
HQ0009,no_rag,"Who is older, Annie Morton or Terry Richardson?","Answer the question using your general knowledge.

Question:
Who is older, Annie Morton or Terry Richardson?

Answer:"
HQ0009,basic_rag,"Who is older, Annie Morton or Terry Richardson?","Answer the question using the provided source context.

Source context:
[S000381] (HQ0009; Terry Richardson) Terrence ""Uncle Terry"" Richardson (born August 14, 1965) is an American fashion and portrait photographer who has shot advertising campaigns for Marc Jacobs, Aldo, Supreme, Sisley, Tom Ford, and Yves Saint Laurent among others. [S000371] (HQ0009; Annie Morton) Annie Morton (born October 8, 1970) is an American model born in Pennsylvania. [S000373] (HQ0009; Annie Morton)  She has been photographed by Helmut Newton; Peter Lindbergh; Annie Leibovitz; Richard Avedon; Juergen Teller; Paul Jasmin, Mary Ellen Mark and Terry Richardson, and modeled for Donna Karan, Givenchy, Guerlain, Chanel, ""Harper's Bazaar"", ""Sports Illustrated"" and Victoria's Secret. [S000372] (HQ0009; Annie Morton)  She has appeared on the covers of ""British Vogue"", ""ID"", ""Marie Claire"", and other magazines. [S000382] (HQ0009; Terry Richardson)  He has also done work for magazines such as ""Rolling Stone"", ""GQ"", ""Vogue"", ""Vanity Fair"", ""Harper's Bazaar"", ""i-D"", and ""Vice"". [S000374] (HQ0009; Annie Morton)  A long time vegetarian, an advocate for organic lifestyle choices and natural healthcare. [S000383] (HQ0009; Lady Gaga x Terry Richardson) Lady Gaga x Terry Richardson is a photo-book by American singer Lady Gaga and American photographer Terry Richardson, released on November 22, 2011 by Grand Central Publishing. [S000386] (HQ0009; Lady Gaga x Terry Richardson)  The duo had collaborated on other projects prior to the shooting of the book.

Question:
Who is older, Annie Morton or Terry Richardson?

Answer:"
