question_id,hotpotqa_id,type,level,source_sentence_ids,supporting_sentence_ids
HQ0011,5a7166395542994082a3e814,bridge,hard,S000454 S000455 S000456 S000457 S000458 S000459 S000460 S000461 S000462 S000463 S000464 S000465 S000466 S000467 S000468 S000469 S000470 S000471 S000472 S000473 S000474 S000475 S000476 S000477 S000478 S000479 S000480 S000481 S000482 S000483 S000484 S000485 S000486 S000487 S000488 S000489 S000490 S000491 S000492 S000493 S000494 S000495 S000496 S000497 S000498 S000499 S000500 S000501,S000481 S000498 S000499
HQ0012,5a877e5d5542993e715abf7d,bridge,hard,S000502 S000503 S000504 S000505 S000506 S000507 S000508 S000509 S000510 S000511 S000512 S000513 S000514 S000515 S000516 S000517 S000518 S000519 S000520 S000521 S000522 S000523 S000524 S000525 S000526 S000527 S000528 S000529 S000530 S000531 S000532 S000533 S000534 S000535 S000536 S000537 S000538 S000539 S000540 S000541,S000520 S000521 S000539
HQ0013,5ab3b0bf5542992ade7c6e39,bridge,hard,S000542 S000543 S000544 S000545 S000546 S000547 S000548 S000549 S000550 S000551 S000552 S000553 S000554 S000555 S000556 S000557 S000558 S000559 S000560 S000561 S000562 S000563 S000564 S000565 S000566 S000567 S000568 S000569 S000570 S000571 S000572 S000573 S000574 S000575 S000576 S000577 S000578 S000579 S000580 S000581 S000582 S000583 S000584 S000585 S000586 S000587,S000580 S000581 S000582
HQ0014,5ab56e32554299637185c594,comparison,hard,S000588 S000589 S000590 S000591 S000592 S000593 S000594 S000595 S000596 S000597 S000598 S000599 S000600 S000601 S000602 S000603 S000604 S000605 S000606 S000607 S000608 S000609 S000610 S000611 S000612 S000613 S000614 S000615 S000616 S000617 S000618 S000619 S000620 S000621 S000622 S000623 S000624 S000625 S000626 S000627 S000628 S000629 S000630 S000631 S000632 S000633 S000634 S000635 S000636 S000637 S000638 S000639 S000640 S000641 S000642 S000643 S000644 S000645 S000646 S000647 S000648 S000649 S000650 S000651 S000652,S000601 S000604
HQ0015,5ab6d09255429954757d337d,bridge,hard,S000653 S000654 S000655 S000656 S000657 S000658 S000659 S000660 S000661 S000662 S000663 S000664 S000665 S000666 S000667 S000668 S000669 S000670 S000671 S000672 S000673 S000674 S000675 S000676,S000665 S000666 S000675
HQ0016,5a75e05c55429976ec32bc5f,bridge,hard,S000677 S000678 S000679 S000680 S000681 S000682 S000683 S000684 S000685 S000686 S000687 S000688 S000689 S000690 S000691 S000692 S000693 S000694 S000695 S000696 S000697 S000698 S000699 S000700 S000701 S000702 S000703 S000704 S000705 S000706 S000707 S000708 S000709 S000710 S000711 S000712 S000713 S000714 S000715 S000716 S000717 S000718 S000719 S000720 S000721 S000722 S000723 S000724 S000725 S000726 S000727 S000728 S000729 S000730 S000731 S000732 S000733 S000734 S000735 S000736 S000737 S000738 S000739 S000740 S000741 S000742,S000688 S000740
HQ0017,5ab3e45655429976abd1bcd4,bridge,hard,S000743 S000744 S000745 S000746 S000747 S000748 S000749 S000750 S000751 S000752 S000753 S000754 S000755 S000756 S000757 S000758 S000759 S000760 S000761 S000762 S000763 S000764 S000765 S000766 S000767 S000768 S000769 S000770 S000771 S000772 S000773 S000774 S000775 S000776 S000777 S000778 S000779 S000780 S000781 S000782 S000783 S000784,S000757 S000758 S000759
HQ0018,5ab29c24554299449642c932,comparison,hard,S000785 S000786 S000787 S000788 S000789 S000790 S000791 S000792 S000793 S000794 S000795 S000796 S000797 S000798 S000799 S000800 S000801 S000802 S000803 S000804 S000805 S000806 S000807 S000808 S000809 S000810 S000811 S000812 S000813 S000814 S000815 S000816 S000817 S000818 S000819,S000797 S000801
HQ0019,5ae0d4c9554299603e418468,bridge,hard,S000820 S000821 S000822 S000823 S000824 S000825 S000826 S000827 S000828 S000829 S000830 S000831 S000832 S000833 S000834 S000835 S000836 S000837 S000838 S000839 S000840 S000841 S000842 S000843 S000844 S000845 S000846 S000847 S000848 S000849 S000850 S000851 S000852 S000853 S000854 S000855 S000856 S000857 S000858 S000859 S000860 S000861 S000862 S000863 S000864,S000828 S000858
HQ0020,5a8133725542995ce29dcbdb,comparison,hard,S000865 S000866 S000867 S000868 S000869 S000870 S000871 S000872 S000873 S000874 S000875 S000876 S000877 S000878 S000879 S000880 S000881 S000882 S000883 S000884 S000885 S000886 S000887 S000888 S000889 S000890 S000891 S000892 S000893 S000894 S000895 S000896 S000897,S000868 S000882
HQ0021,5ae7a8175542993210983ed8,bridge,hard,S000898 S000899 S000900 S000901 S000902 S000903 S000904 S000905 S000906 S000907 S000908 S000909 S000910 S000911 S000912 S000913 S000914 S000915 S000916 S000917 S000918 S000919 S000920 S000921 S000922 S000923 S000924 S000925 S000926 S000927 S000928 S000929 S000930 S000931 S000932 S000933 S000934 S000935 S000936 S000937,S000915 S000931 S000932
HQ0022,5ae6050f55429929b0807a5e,bridge,hard,S000938 S000939 S000940 S000941 S000942 S000943 S000944 S000945 S000946 S000947 S000948 S000949 S000950 S000951 S000952 S000953 S000954 S000955 S000956 S000957 S000958 S000959 S000960 S000961 S000962 S000963 S000964 S000965 S000966 S000967 S000968 S000969 S000970 S000971 S000972 S000973 S000974 S000975 S000976 S000977 S000978 S000979 S000980 S000981 S000982 S000983 S000984,S000964 S000979
HQ0023,5adddccd5542997dc7907069,bridge,hard,S000985 S000986 S000987 S000988 S000989 S000990 S000991 S000992 S000993 S000994 S000995 S000996 S000997 S000998 S000999 S001000 S001001 S001002 S001003 S001004 S001005 S001006 S001007 S001008 S001009 S001010 S001011 S001012 S001013 S001014 S001015 S001016 S001017 S001018 S001019 S001020 S001021 S001022 S001023 S001024 S001025 S001026 S001027 S001028 S001029 S001030 S001031 S001032 S001033 S001034 S001035 S001036 S001037,S000993 S000994 S001009 S001010
HQ0024,5ae2070a5542994d89d5b313,comparison,hard,S001038 S001039 S001040 S001041 S001042 S001043 S001044 S001045 S001046 S001047 S001048 S001049 S001050 S001051 S001052 S001053 S001054 S001055 S001056 S001057 S001058 S001059 S001060 S001061 S001062 S001063 S001064 S001065 S001066,S001039 S001058
HQ0025,5ae22b8d554299234fd0440f,bridge,hard,S001067 S001068 S001069 S001070 S001071 S001072 S001073 S001074 S001075 S001076 S001077 S001078 S001079 S001080 S001081 S001082 S001083 S001084 S001085 S001086 S001087 S001088 S001089 S001090 S001091 S001092 S001093 S001094 S001095 S001096 S001097 S001098 S001099 S001100 S001101,S001073 S001093 S001094
HQ0026,5a722b8655429971e9dc9329,bridge,hard,S001102 S001103 S001104 S001105 S001106 S001107 S001108 S001109 S001110 S001111 S001112 S001113 S001114 S001115 S001116 S001117 S001118 S001119 S001120 S001121 S001122 S001123 S001124 S001125 S001126 S001127 S001128 S001129 S001130 S001131 S001132 S001133 S001134 S001135 S001136,S001131 S001136
HQ0027,5adf37a95542995ec70e8f97,bridge,hard,S001137 S001138 S001139 S001140 S001141 S001142 S001143 S001144 S001145 S001146 S001147 S001148 S001149 S001150 S001151 S001152 S001153 S001154 S001155 S001156 S001157 S001158 S001159 S001160 S001161 S001162 S001163 S001164 S001165 S001166 S001167 S001168 S001169 S001170 S001171 S001172 S001173 S001174 S001175 S001176 S001177 S001178 S001179 S001180 S001181 S001182 S001183 S001184 S001185 S001186 S001187 S001188 S001189 S001190 S001191 S001192 S001193 S001194 S001195 S001196 S001197 S001198,S001153 S001166
HQ0028,5abd259d55429924427fcf1a,comparison,hard,S001199 S001200 S001201 S001202 S001203 S001204 S001205 S001206 S001207 S001208 S001209,S001199 S001204
HQ0029,5a828c8355429966c78a6a50,bridge,hard,S001210 S001211 S001212 S001213 S001214 S001215 S001216 S001217 S001218 S001219 S001220 S001221 S001222 S001223 S001224 S001225 S001226 S001227 S001228 S001229 S001230 S001231 S001232 S001233 S001234 S001235 S001236 S001237 S001238 S001239 S001240 S001241 S001242,S001224 S001225 S001230
HQ0030,5a8a3e745542996c9b8d5e70,bridge,hard,S001243 S001244 S001245 S001246 S001247 S001248 S001249 S001250 S001251 S001252 S001253 S001254 S001255 S001256 S001257 S001258 S001259 S001260 S001261 S001262 S001263 S001264 S001265 S001266 S001267 S001268 S001269 S001270 S001271 S001272 S001273 S001274 S001275,S001245 S001273
HQ0031,5ac23ff0554299636651994d,bridge,hard,S001276 S001277 S001278 S001279 S001280 S001281 S001282 S001283 S001284 S001285 S001286 S001287 S001288 S001289 S001290 S001291 S001292 S001293 S001294 S001295 S001296 S001297 S001298 S001299 S001300 S001301 S001302 S001303 S001304 S001305 S001306 S001307 S001308 S001309 S001310 S001311 S001312 S001313 S001314 S001315 S001316 S001317 S001318 S001319,S001295 S001315
HQ0032,5ae4a3265542995ad6573de5,comparison,hard,S001320 S001321 S001322 S001323 S001324 S001325 S001326 S001327 S001328 S001329 S001330 S001331 S001332 S001333 S001334 S001335 S001336 S001337 S001338 S001339 S001340 S001341 S001342 S001343 S001344 S001345 S001346 S001347 S001348 S001349 S001350 S001351 S001352 S001353 S001354 S001355 S001356 S001357 S001358 S001359 S001360,S001324 S001335
HQ0033,5ae0361155429925eb1afc2c,bridge,hard,S001361 S001362 S001363 S001364 S001365 S001366 S001367 S001368 S001369 S001370 S001371 S001372 S001373 S001374 S001375 S001376 S001377 S001378 S001379 S001380 S001381 S001382 S001383 S001384 S001385 S001386 S001387 S001388,S001366 S001386
HQ0034,5abc0a5d5542993f40c73c64,comparison,hard,S001389 S001390 S001391 S001392 S001393 S001394 S001395 S001396 S001397 S001398 S001399 S001400 S001401 S001402 S001403 S001404 S001405 S001406 S001407 S001408 S001409 S001410 S001411 S001412 S001413 S001414 S001415 S001416 S001417 S001418 S001419 S001420 S001421 S001422 S001423 S001424 S001425 S001426 S001427 S001428 S001429 S001430 S001431 S001432 S001433 S001434 S001435 S001436 S001437 S001438,S001428 S001431
HQ0035,5a7cc50e554299452d57ba3e,comparison,hard,S001439 S001440 S001441 S001442 S001443 S001444 S001445 S001446 S001447 S001448 S001449 S001450 S001451 S001452 S001453 S001454 S001455 S001456 S001457 S001458 S001459 S001460 S001461 S001462 S001463 S001464 S001465 S001466 S001467 S001468 S001469 S001470 S001471 S001472 S001473 S001474 S001475 S001476 S001477 S001478,S001439 S001440 S001469 S001470
HQ0036,5abf63f15542997ec76fd3ea,bridge,hard,S001479 S001480 S001481 S001482 S001483 S001484 S001485 S001486 S001487 S001488 S001489 S001490 S001491 S001492 S001493 S001494 S001495 S001496 S001497 S001498 S001499 S001500 S001501 S001502 S001503 S001504 S001505 S001506 S001507 S001508 S001509 S001510 S001511 S001512 S001513 S001514 S001515 S001516 S001517 S001518 S001519 S001520 S001521 S001522 S001523 S001524 S001525 S001526 S001527 S001528 S001529 S001530,S001484 S001512
HQ0037,5a8ef2a75542995a26add583,bridge,hard,S001531 S001532 S001533 S001534 S001535 S001536 S001537 S001538 S001539 S001540 S001541 S001542 S001543 S001544 S001545 S001546 S001547 S001548 S001549 S001550 S001551 S001552 S001553 S001554 S001555 S001556 S001557 S001558 S001559 S001560 S001561 S001562 S001563 S001564,S001549 S001562
HQ0038,5a80721b554299485f5985ef,bridge,hard,S001565 S001566 S001567 S001568 S001569 S001570 S001571 S001572 S001573 S001574 S001575 S001576 S001577 S001578 S001579 S001580 S001581 S001582 S001583 S001584 S001585 S001586 S001587 S001588 S001589 S001590 S001591 S001592 S001593 S001594 S001595 S001596,S001565 S001591
HQ0039,5ab51dae5542991779162d82,comparison,hard,S001597 S001598 S001599 S001600 S001601 S001602 S001603 S001604 S001605 S001606 S001607 S001608 S001609 S001610 S001611 S001612 S001613 S001614 S001615 S001616 S001617 S001618 S001619 S001620 S001621 S001622 S001623 S001624 S001625 S001626 S001627 S001628 S001629 S001630 S001631 S001632,S001606 S001607
HQ0040,5a7571135542992d0ec05f98,bridge,hard,S001633 S001634 S001635 S001636 S001637 S001638 S001639 S001640 S001641 S001642 S001643 S001644 S001645 S001646 S001647 S001648 S001649 S001650 S001651 S001652 S001653 S001654 S001655 S001656 S001657 S001658 S001659 S001660 S001661 S001662 S001663 S001664 S001665 S001666 S001667 S001668 S001669 S001670 S001671,S001665 S001671
HQ0041,5a7a0e1e5542990783324e1a,comparison,hard,S001672 S001673 S001674 S001675 S001676 S001677 S001678 S001679 S001680 S001681 S001682 S001683 S001684 S001685 S001686 S001687 S001688 S001689 S001690 S001691 S001692 S001693 S001694 S001695 S001696 S001697 S001698 S001699 S001700 S001701 S001702 S001703 S001704 S001705 S001706 S001707 S001708 S001709 S001710 S001711 S001712 S001713 S001714 S001715 S001716 S001717 S001718 S001719 S001720 S001721,S001681 S001710 S001713
HQ0042,5a74106b55429979e288289e,bridge,hard,S001722 S001723 S001724 S001725 S001726 S001727 S001728 S001729 S001730 S001731 S001732 S001733 S001734 S001735 S001736 S001737 S001738 S001739 S001740 S001741 S001742 S001743 S001744 S001745 S001746 S001747 S001748 S001749 S001750 S001751 S001752 S001753 S001754 S001755 S001756 S001757 S001758 S001759 S001760 S001761 S001762 S001763 S001764 S001765,S001738 S001746
HQ0043,5a79311755429970f5fffe67,bridge,hard,S001766 S001767 S001768 S001769 S001770 S001771 S001772 S001773 S001774 S001775 S001776 S001777 S001778 S001779 S001780 S001781 S001782 S001783 S001784 S001785 S001786 S001787 S001788 S001789 S001790 S001791 S001792 S001793 S001794 S001795 S001796 S001797 S001798 S001799 S001800 S001801 S001802 S001803 S001804 S001805 S001806 S001807 S001808 S001809 S001810 S001811 S001812 S001813 S001814 S001815 S001816 S001817 S001818 S001819 S001820 S001821 S001822 S001823 S001824 S001825 S001826,S001775 S001824
HQ0044,5ab2d3df554299194fa9352c,bridge,hard,S001827 S001828 S001829 S001830 S001831 S001832 S001833 S001834 S001835 S001836 S001837 S001838 S001839 S001840 S001841 S001842 S001843 S001844 S001845 S001846 S001847 S001848 S001849 S001850 S001851 S001852 S001853 S001854 S001855 S001856 S001857 S001858 S001859 S001860 S001861 S001862 S001863 S001864 S001865 S001866 S001867 S001868 S001869 S001870 S001871 S001872 S001873 S001874 S001875 S001876 S001877,S001857 S001869
HQ0045,5a760ab65542994ccc918697,bridge,hard,S001878 S001879 S001880 S001881 S001882 S001883 S001884 S001885 S001886 S001887 S001888 S001889 S001890 S001891 S001892 S001893 S001894 S001895 S001896 S001897 S001898 S001899 S001900 S001901 S001902 S001903 S001904 S001905 S001906 S001907 S001908 S001909 S001910 S001911 S001912 S001913 S001914 S001915 S001916 S001917 S001918 S001919 S001920 S001921 S001922 S001923 S001924 S001925 S001926 S001927 S001928 S001929 S001930 S001931 S001932 S001933 S001934 S001935 S001936 S001937 S001938 S001939 S001940 S001941 S001942 S001943 S001944 S001945 S001946 S001947 S001948,S001885 S001940 S001942
HQ0046,5a7d54165542995f4f402256,bridge,hard,S001949 S001950 S001951 S001952 S001953 S001954 S001955 S001956 S001957 S001958 S001959 S001960 S001961 S001962 S001963 S001964 S001965 S001966 S001967 S001968 S001969 S001970 S001971 S001972 S001973 S001974 S001975 S001976 S001977 S001978 S001979,S001966 S001967 S001968 S001969
HQ0047,5ab859a955429934fafe6d7b,bridge,hard,S001980 S001981 S001982 S001983 S001984 S001985 S001986 S001987 S001988 S001989 S001990 S001991 S001992 S001993 S001994 S001995 S001996 S001997 S001998 S001999 S002000 S002001 S002002 S002003 S002004 S002005 S002006 S002007 S002008 S002009 S002010 S002011 S002012 S002013 S002014 S002015 S002016 S002017 S002018 S002019 S002020 S002021 S002022 S002023 S002024 S002025 S002026 S002027 S002028 S002029 S002030 S002031 S002032 S002033 S002034 S002035 S002036 S002037 S002038 S002039 S002040 S002041,S001992 S001993 S002030
HQ0048,5add61d65542995b365fab21,bridge,hard,S002042 S002043 S002044 S002045 S002046 S002047 S002048 S002049 S002050 S002051 S002052 S002053 S002054 S002055 S002056 S002057 S002058 S002059 S002060 S002061 S002062 S002063 S002064 S002065 S002066 S002067 S002068 S002069 S002070 S002071 S002072 S002073 S002074 S002075 S002076 S002077 S002078 S002079 S002080 S002081 S002082 S002083 S002084 S002085 S002086 S002087 S002088 S002089,S002066 S002073
HQ0049,5a8e068b5542995085b37384,comparison,hard,S002090 S002091 S002092 S002093 S002094 S002095 S002096 S002097 S002098 S002099 S002100 S002101 S002102 S002103 S002104 S002105 S002106 S002107 S002108 S002109 S002110 S002111 S002112 S002113 S002114 S002115 S002116 S002117 S002118 S002119 S002120 S002121 S002122 S002123 S002124 S002125 S002126 S002127 S002128 S002129 S002130 S002131 S002132 S002133 S002134 S002135 S002136 S002137 S002138 S002139 S002140 S002141 S002142 S002143,S002101 S002133
HQ0050,5abbf698554299114383a0b5,bridge,hard,S002144 S002145 S002146 S002147 S002148 S002149 S002150 S002151 S002152 S002153 S002154 S002155 S002156 S002157 S002158 S002159 S002160 S002161 S002162 S002163 S002164 S002165 S002166 S002167 S002168 S002169 S002170 S002171 S002172 S002173 S002174 S002175 S002176 S002177 S002178 S002179 S002180 S002181 S002182 S002183 S002184 S002185 S002186 S002187 S002188 S002189 S002190,S002149 S002156
