question_id,question,expected_answer,expected_citation,answerable
HQ0038,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,S001565 S001591,yes
HQ0039,Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,S001606 S001607,yes
HQ0040,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,S001665 S001671,yes
HQ0041,Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,S001681 S001710 S001713,yes
HQ0042,Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,S001738 S001746,yes
HQ0043,"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,S001775 S001824,yes
HQ0044,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,S001857 S001869,yes
HQ0045,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,S001885 S001940 S001942,yes
HQ0046,"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,S001966 S001967 S001968 S001969,yes
HQ0047,Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,S001992 S001993 S002030,yes
HQ0048,What type of forum did a former Soviet statesman initiate?,Organizations could come together to address global issues,S002066 S002073,yes
HQ0049,Are Ferocactus and Silene both types of plant?,yes,S002101 S002133,yes
HQ0050,Which British first-generation jet-powered medium bomber was used in the South West Pacific theatre of World War II?,English Electric Canberra,S002149 S002156,yes
