question_id,setting,model_name,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0019,strict_citation_rag,gpt-4.1-mini,vector,S000858 S000856 S000834 S000843 S000841 S000857 S000835 S000833,Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the Nixon administration. The document does not provide the specific years of Nixon's presidency [S000858].,S000858,no,partial,no,na,Incorrect answer because it does not provide the years 1969 until 1974. Citation partially supports Nixon-administration context.
HQ0020,strict_citation_rag,gpt-4.1-mini,vector,S000882 S000868 S000884 S000890 S000881 S000891 S000897 S000892,"Robert Erskine Childers was from England, as he was a British writer [S000882]. The document states Henry Roth was American, so he was not from England [S000868].",S000868 S000882,yes,yes,no,na,Correct answer. Citations support Robert Erskine Childers as British and Henry Roth as American.
HQ0021,strict_citation_rag,gpt-4.1-mini,vector,S000932 S000930 S000931 S000915 S000917 S000936 S000923 S000903,"Pedro Rodríguez is the only other Mexican driver to have finished on the podium in Formula One besides Sergio Pérez, who currently races with Sahara Force India F1 Team [S000932], [S000931], [S000915].",S000915 S000931 S000932,yes,yes,no,na,Correct answer. Citations support Pedro Rodriguez as the other Mexican Formula One podium finisher.
HQ0022,strict_citation_rag,gpt-4.1-mini,vector,S000978 S000964 S000979 S000953 S000974 S000943 S000976 S000972,"The singer of ""A Rather Blustery Day,"" Jim Cummings, voiced Dr. Robotnik from ""Sonic the Hedgehog"" [S000979, S000964].",S000964 S000979,yes,yes,no,na,Correct answer. Citations support Jim Cummings and Sonic the Hedgehog connection.
HQ0023,strict_citation_rag,gpt-4.1-mini,vector,S000995 S000997 S000994 S000993 S000999 S000996 S000998 S001010,"Aside from the Apple Remote, the program Apple Remote was originally designed to interact with, Front Row, can also be controlled by the keyboard function keys [S001010].",S001010,yes,partial,no,na,"Correct answer. Citation supports keyboard function keys, but omits some setup evidence for Front Row and Apple Remote."
HQ0024,strict_citation_rag,gpt-4.1-mini,vector,S001038 S001039 S001060 S001047 S001043 S001058 S001045 S001048,"Badly Drawn Boy is a solo act (Damon Gough) who performs as an indie singer-songwriter and multi-instrumentalist [S001058]. Wolf Alice is a four-piece band consisting of four members [S001038, S001039]. 

Since Badly Drawn Boy plays several instruments himself [S001060] and is a single person, his instrument-to-person ratio is higher than Wolf Alice, which has one instrument player per member.

Therefore, Badly Drawn Boy has a higher instrument-to-person ratio than Wolf Alice [S001038, S001039, S001058, S001060].",S001038 S001039 S001058 S001060,yes,yes,no,na,Correct answer. Citations support Badly Drawn Boy as a solo multi-instrumentalist and Wolf Alice as a four-piece band.
HQ0025,strict_citation_rag,gpt-4.1-mini,vector,S001073 S001094 S001093 S001074 S001071 S001072 S001089 S001086,Peter Schmeichel was voted the IFFHS World's Best Goalkeeper in 1992 [S001073].,S001073,yes,partial,no,na,"Correct answer. Citation supports the award, but omits citations for the Kasper/Peter father relationship."
HQ0026,strict_citation_rag,gpt-4.1-mini,vector,S001131 S001132 S001129 S001103 S001133 S001124 S001134 S001135,"The writer of ""These Boots Are Made for Walkin'"" is Lee Hazlewood [S001131]. The document does not provide information about anyone who died in 2007.",S001131,partial,partial,no,na,Partial: identifies Lee Hazlewood as writer but misses full name/death evidence because S001136 was not retrieved.
HQ0027,strict_citation_rag,gpt-4.1-mini,vector,S001166 S001139 S001159 S001187 S001170 S001145 S001164 S001169,The document does not provide enough information.,,no,na,no,na,Incorrect refusal caused by missing VCU founding-year evidence.
HQ0028,strict_citation_rag,gpt-4.1-mini,vector,S001204 S001203 S001207 S001199 S001202 S001200 S001205 S001208,"Yes, both Dictyosperma and Huernia are described as a genus. Huernia is described as a genus in sentence [S001204], and Dictyosperma is referred to as a genus in sentences [S001199] and [S001202].",S001199 S001202 S001204,yes,yes,no,na,Correct answer; citations support both genus claims.
HQ0029,strict_citation_rag,gpt-4.1-mini,vector,S001230 S001223 S001231 S001225 S001226 S001234 S001224 S001222,"Yes, Kaiser Ventures corporation was founded by Henry J. Kaiser, an American industrialist who became known as the father of modern American shipbuilding [S001230], [S001225].",S001225 S001230,yes,yes,no,na,Correct answer; citations support founder and industrialist claim.
HQ0030,strict_citation_rag,gpt-4.1-mini,vector,S001245 S001246 S001254 S001275 S001274 S001273 S001261 S001258,"The name for the adventure in ""Tunnels & Trolls"" is ""Arena of Khazan"" [S001273].",S001273,yes,partial,no,na,Correct answer; citation supports adventure name but omits game/designer support.
HQ0031,strict_citation_rag,gpt-4.1-mini,vector,S001315 S001318 S001319 S001282 S001316 S001298 S001296 S001295,"The document does not provide enough information. The song ""Shut Up, Make Love"" was released in 2000 and was from the album ""Crack a Smile...and More!"" which was released on March 14, 2000, but there is no mention of an album titled ""Shut Up, Make Love"" [S001315], [S001318].",S001315 S001318,partial,yes,no,na,"Partial: includes expected year 2000 but refuses because it treats Shut Up, Make Love as a song rather than an album."
HQ0032,strict_citation_rag,gpt-4.1-mini,vector,S001335 S001324 S001337 S001338 S001321 S001336 S001328 S001355,"Buck-Tick is a Japanese rock band, formed in Fujioka, Gunma in 1983 [S001335].",S001335,yes,yes,no,na,"Correct answer; citation supports Fujioka, Gunma."
HQ0033,strict_citation_rag,gpt-4.1-mini,vector,S001386 S001385 S001361 S001377 S001384 S001387 S001369 S001378,The French ace pilot and adventurer who flew L'Oiseau Blanc were Charles Nungesser and François Coli [S001386].,S001386,partial,partial,no,na,Partial: includes expected Charles Nungesser but adds Francois Coli; citation supports both flyers but not the ace/adventurer identity.
HQ0034,strict_citation_rag,gpt-4.1-mini,vector,S001431 S001432 S001428 S001396 S001391 S001395 S001430 S001390,"No, Freakonomics is an American documentary film, but In the Realm of the Hackers is an Australian documentary [S001431], [S001428].",S001428 S001431,yes,yes,no,na,Correct answer; citations support American vs Australian documentary distinction.
HQ0035,strict_citation_rag,gpt-4.1-mini,vector,S001439 S001473 S001469 S001472 S001440 S001476 S001471 S001446,"Letters to Cleo had six members, while Screaming Trees had four original members mentioned. Therefore, Letters to Cleo had more members [S001440], [S001469].",S001440 S001469,yes,yes,no,na,Correct answer; citations support Letters to Cleo having more listed members.
HQ0036,strict_citation_rag,gpt-4.1-mini,vector,S001529 S001519 S001511 S001484 S001526 S001528 S001516 S001527,"The war ended in 1923 in the sense that Red control of the newly formed Soviet Union was assured, although armed national resistance in Central Asia was not completely crushed until 1934 [S001519].",S001519,no,yes,no,na,Wrong benchmark answer due retrieved contradictory or less precise sentence; cited source supports the model answer.
HQ0037,strict_citation_rag,gpt-4.1-mini,vector,S001563 S001564 S001562 S001549 S001543 S001551 S001544 S001559,"Seven Brief Lessons on Physics was written by an Italian physicist, Carlo Rovelli, who has worked in France since the year 2000 [S001549].",S001549,yes,partial,no,na,Correct answer; citation supports the year but omits the Seven Brief Lessons book link.
HQ0038,strict_citation_rag,gpt-4.1-mini,vector,S001565 S001566 S001577 S001573 S001594 S001569 S001571 S001586,"The Livesey Hall War Memorial commemorates the fallen of World War I and World War II [S001565]. The higher figure of over 80 million casualties includes deaths from war-related disease and famine [S001594], but the context does not specify which war had over 60 million casualties. Therefore, the document does not provide enough information to link the Livesey Hall War Memorial to a specific war with over 60 million casualties.",S001565 S001594,no,partial,no,na,Incorrect overcautious refusal; evidence partially supports the needed link but model failed to identify World War II.
HQ0039,strict_citation_rag,gpt-4.1-mini,vector,S001607 S001608 S001609 S001630 S001629 S001622 S001606 S001632,"No, only Gerald R. Ford International Airport is located in Michigan. Elko Regional Airport is located in Elko County, Nevada [S001607], [S001606].",S001606 S001607,yes,yes,no,na,Correct answer; citations support Michigan vs Nevada locations.
HQ0040,strict_citation_rag,gpt-4.1-mini,vector,S001665 S001667 S001647 S001641 S001644 S001666 S001661 S001548,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City. This is supported by the sentence: ""Ralph Franklin Hefferline (15 February 1910 in Muncie, Indiana – 16 March 1974) was a psychology professor at Columbia University"" [S001665].",S001665,yes,no,yes,na,"Correct answer, but New York City location is not supported by cited source or retrieved context."
HQ0041,strict_citation_rag,gpt-4.1-mini,vector,S001713 S001712 S001687 S001677 S001710 S001701 S001721 S001683,The dog's ancestors that include Gordon and Irish Setters are the Scotch Collie [S001713].,S001713,yes,yes,no,na,Correct answer; citation supports Scotch Collie ancestors including Gordon and Irish Setters.
HQ0042,strict_citation_rag,gpt-4.1-mini,vector,S001738 S001735 S001739 S001726 S001740 S001725 S001737 S001736,The document does not provide enough information.,,no,na,no,na,Incorrect refusal caused by missing Tata Consultancy Services headquarters evidence.
HQ0043,strict_citation_rag,gpt-4.1-mini,vector,S001824 S001823 S001767 S001822 S001769 S001808 S001789 S001788,"The document does not provide enough information. The source only states that the manga series I""s is written and illustrated by Masakazu Katsura, but does not mention his birth year [S001823], [S001824].",S001823 S001824,no,na,no,na,Incorrect refusal caused by missing Masakazu Katsura birth-year evidence.
HQ0044,strict_citation_rag,gpt-4.1-mini,vector,S001869 S001857 S001834 S001867 S001877 S001876 S001828 S001872,"The battle in which Giuseppe Arimondi lost his life secured Ethiopian sovereignty. This is supported by the fact that the Battle of Adwa, where he died, was a decisive defeat for Italy and secured Ethiopian sovereignty [S001869], [S001857].",S001857 S001869,yes,yes,no,na,Correct answer; citations support Adwa and Ethiopian sovereignty.
HQ0045,strict_citation_rag,gpt-4.1-mini,vector,S001942 S001940 S001919 S001943 S001941 S001918 S000827 S000843,Alfred Balk served as the secretary of New York Governor Nelson Rockefeller's Committee on the Employment of Minority Groups in the News Media. The document does not mention a United States Vice President associated with this committee [S001942].,S001942,partial,partial,no,na,Partial: identifies Nelson Rockefeller but does not establish vice-president role because VP evidence was missing.
HQ0046,strict_citation_rag,gpt-4.1-mini,vector,S001969 S001956 S001958 S001953 S001954 S001970 S001974 S001968,"A medieval fortress in Dirleton, East Lothian, Scotland, which is Dirleton Castle, borders on the south side of the Yellowcraigs coastal area. This is supported by the sentence: ""It is bordered to the north by the Firth of Forth, to the south by the village of Dirleton and Dirleton Castle..."" referring to Yellowcraigs [S001968].",S001968,yes,yes,no,na,Correct answer; citation supports Yellowcraigs being bordered to the south by Dirleton and Dirleton Castle.
HQ0047,strict_citation_rag,gpt-4.1-mini,vector,S001992 S001994 S002018 S002020 S002023 S002019 S002017 S001993,The document does not provide enough information.,,no,na,no,na,Incorrect refusal caused by missing song-writer/tombstone evidence.
HQ0048,strict_citation_rag,gpt-4.1-mini,vector,S001922 S001923 S002075 S002066 S002073 S002058 S002085 S002050,"A former Soviet statesman, Mikhail Gorbachev, initiated the World Summit of Nobel Peace Laureates, which is a forum where Nobel Peace Laureates and Peace Laureate Organizations come together to address global issues with the aim to encourage and support peace and human well-being in the world [S002066].",S002066,yes,yes,no,na,Correct answer; citation supports the forum where laureates and organizations address global issues.
HQ0049,strict_citation_rag,gpt-4.1-mini,vector,S002133 S002134 S002135 S002120 S002101 S002103 S002139 S002095,"Yes, Ferocactus and Silene are both types of plants. Ferocactus is a genus of large barrel-shaped cacti [S002133], and Silene is a genus of flowering plants in the family Caryophyllaceae [S002101].",S002101 S002133,yes,yes,no,na,Correct answer; citations support both as plant genera/types.
HQ0050,strict_citation_rag,gpt-4.1-mini,vector,S002149 S002153 S002157 S002159 S002155 S002160 S002167 S002156,The document does not provide enough information.,,no,na,no,na,Incorrect refusal despite retrieved evidence containing the expected support sentences.
