question_id,setting,model_name,retrieval_method,top_source_ids,answer,cited_source,answer_correct,citation_correct,hallucination,refusal_correct,notes
HQ0012,strict_citation_rag,gpt-4.1-mini,gold,S000520 S000521 S000539,"The screenwriter with credits for ""Evolution"" who co-wrote a film starring Nicolas Cage and Téa Leoni is David Weissman [S000521], [S000539].",S000521 S000539,yes,yes,no,na,Correct answer. Citations support David Weissman and the film connection.
HQ0013,strict_citation_rag,gpt-4.1-mini,gold,S000580 S000581 S000582,"Guns N' Roses performed a promo for the movie starring Arnold Schwarzenegger as a former New York Police detective in 1999 [S000580], [S000582].",S000580 S000582,yes,yes,no,na,Correct answer. Citations support the movie context and 1999 promo.
HQ0014,strict_citation_rag,gpt-4.1-mini,gold,S000601 S000604,"The document does not provide enough information. [S000601], [S000604]",S000601 S000604,no,no,no,na,"Incorrect refusal. Expected answer is no, but model said not enough information."
HQ0015,strict_citation_rag,gpt-4.1-mini,gold,S000665 S000666 S000675,"The football manager who recruited David Beckham, Alex Ferguson, managed Manchester United from 1986 to 2013 [S000666, S000675].",S000666 S000675,yes,yes,no,na,Correct answer. Citations support Alex Ferguson and the 1986 to 2013 timeframe.
HQ0016,strict_citation_rag,gpt-4.1-mini,gold,S000688 S000740,The document does not provide enough information.,,no,na,no,na,"Incorrect refusal. Expected answer is 9,984."
HQ0017,strict_citation_rag,gpt-4.1-mini,gold,S000757 S000758 S000759,"The Vermont Catamounts men's soccer team currently competes in the America East Conference, which was formerly known as the North Atlantic Conference from 1988 to 1996 [S000757, S000759].",S000757 S000759,yes,yes,no,na,Correct answer. Citations support America East Conference formerly being North Atlantic Conference.
HQ0018,strict_citation_rag,gpt-4.1-mini,gold,S000797 S000801,"Yes, Giuseppe Verdi and Ambroise Thomas are both opera composers. Giuseppe Verdi was an Italian opera composer [S000797], and Ambroise Thomas was a French composer best known for his operas ""Mignon"" and ""Hamlet"" [S000801].",S000797 S000801,yes,yes,no,na,Correct answer. Citations support both composers being opera composers.
HQ0019,strict_citation_rag,gpt-4.1-mini,gold,S000828 S000858,"Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the Nixon administration, and Richard Nixon was President from 1969 until 1974 [S000828][S000858].",S000828 S000858,yes,yes,no,na,Correct answer. Citations support Nixon administration and 1969 to 1974 years.
HQ0020,strict_citation_rag,gpt-4.1-mini,gold,S000868 S000882,"Robert Erskine Childers was from England, as he was a British writer [S000882].",S000882,yes,yes,no,na,Correct answer. Citation supports Robert Erskine Childers being British/from England.
HQ0021,strict_citation_rag,gpt-4.1-mini,gold,S000915 S000931 S000932,"Pedro Rodríguez is the other Mexican Formula One race car driver who has held the podium besides Sergio Pérez, the Force India driver born in 1990 [S000931], [S000932].",S000931 S000932,yes,yes,no,na,Correct answer. Citations support Pedro Rodriguez as the other Mexican Formula One podium finisher.
HQ0022,strict_citation_rag,gpt-4.1-mini,gold,S000964 S000979,"The singer of A Rather Blustery Day also voiced Dr. Robotnik from ""Sonic the Hedgehog"" [S000964][S000979].",S000964 S000979,yes,yes,no,na,Correct answer. Citations support singer and Sonic the Hedgehog connection.
HQ0023,strict_citation_rag,gpt-4.1-mini,gold,S000993 S000994 S001009 S001010,"The program Apple Remote was originally designed to interact with, Front Row, can also be controlled by the keyboard function keys [S001010].",S001010,yes,yes,no,na,Correct answer. Citation supports keyboard function keys controlling Front Row.
HQ0024,strict_citation_rag,gpt-4.1-mini,gold,S001039 S001058,"Wolf Alice has 4 members playing the following instruments: vocals, guitar, guitars, vocals, bass, drums, and vocals. This means at least 4 instruments (guitar, bass, drums) plus vocals which are also counted separately here. Badly Drawn Boy is described as a solo artist (implying 1 person) who is a multi-instrumentalist (meaning more than one instrument).

Wolf Alice: 4 members, at least 4 types of instruments (vocals, guitar, bass, drums) - ratio 4/4 = 1  
Badly Drawn Boy: 1 person, multiple instruments - ratio greater than 1

Therefore, Badly Drawn Boy has a higher instrument-to-person ratio because he is a single individual who plays multiple instruments, while Wolf Alice has four members each playing one or two instruments. This conclusion is supported by ""multi-instrumentalist"" referring to Badly Drawn Boy and the listing of individual members for Wolf Alice [S001039], [S001058].",S001039 S001058,yes,partial,no,na,Correct final answer. Citation support is partial because the model adds ratio reasoning beyond direct citation text.
HQ0025,strict_citation_rag,gpt-4.1-mini,gold,S001073 S001093 S001094,"The father of Kasper Schmeichel, Peter Schmeichel, was voted the IFFHS World's Best Goalkeeper in 1992 [S001073].",S001073,yes,partial,no,na,"Correct answer. Citation supports the award, but omits supporting citations for the Kasper/Peter father relationship."
